301	-4.50	7.00	0.00	TEST-POINT3	PAD.03X.03
C1	-7.50	0.00	270.00	100n ±10% 50V X7R	C0603
C101	-19.90	19.50	270.00	100n ±10% 50V X7R	C0603
C102	-17.80	13.00	0.00	100n ±10% 50V X7R	C0603
C103	-13.80	12.00	180.00	470n ±10% 25V X7R	C0603
C104	-11.65	6.05	0.00	1u ±10% 25V X7R	C0603
C105	-11.65	8.10	0.00	100n ±10% 50V X7R	C0603
C106	3.60	6.75	180.00	100n ±10% 50V X7R	C0603
C107	13.00	14.30	270.00	100n ±10% 50V X7R	C0603
C108	15.30	22.30	270.00	100n ±10% 50V X7R	C0603
C109	-0.90	7.10	180.00	100n ±10% 50V X7R	C0603
C110	3.00	33.60	0.00	100n ±10% 50V X7R	C0603
C111	-11.00	32.00	270.00	4u7 ±20% 6V3 X5R	C0603
C112	10.50	32.00	90.00	2u2 ±20% 6V3 X5R	C0603
C113	11.05	7.85	90.00	2u2 ±20% 6V3 X5R	C0603
C201	25.00	30.80	270.00	22p ±5% 50V NP0	C0603
C202	22.50	19.20	90.00	22p ±5% 50V NP0	C0603
C203	25.00	34.90	270.00	100n ±10% 50V X7R	C0603
C204	4.00	1.00	0.00	100n ±10% 50V X7R	C0603
C205	-8.50	-12.90	0.00	4u7 ±20% 6V3 X5R	C0603
C206	-5.50	-12.00	270.00	10u ±20% 6V3 X5R	C0603
C207	3.00	3.00	0.00	2u2 ±20% 6V3 X5R	C0603
C208	-1.20	-13.00	0.00	4u7 ±20% 6V3 X5R	C0603
C209	3.70	-14.00	270.00	10u ±20% 6V3 X5R	C0603
C210	4.00	-1.00	0.00	470n ±10% 25V X7R	C0603
C211	-0.90	5.05	180.00	10n ±10% 50V X7R	C0603
C212	19.50	54.55	180.00	4u7 ±20% 6V3 X5R	C0603
C301	-0.50	54.25	0.00	100n ±10% 50V X7R	C0603
C302	-0.50	50.25	0.00	100n ±10% 50V X7R	C0603
D101	-11.00	63.76	270.00		WL-SFCX_0606
D102	-9.00	63.75	180.00	red	CHIPLED_0805
D103	-7.00	63.75	180.00	yellow	CHIPLED_0805
D104	-5.00	63.75	180.00	blue	CHIPLED_0805
D105	-3.00	63.75	180.00	red	CHIPLED_0805
D106	-1.00	63.75	180.00	yellow	CHIPLED_0805
D201	20.90	16.70	180.00	PTVS3V3S1UR	SOD123
D202	21.00	33.90	180.00	PTVS3V3S1UR	SOD123
D203	-7.20	-14.90	0.00	PTVS3V3S1UR	SOD123
D204	-0.50	-15.30	0.00	PTVS5V0S1UR	SOD123
D301	23.88	56.78	0.00		WE-TVS_SOT23-6L
IC101	0.00	20.00	0.00	STM32F429ZIT6	QFP50P2200X2200X160-144N
IC201	24.10	24.70	180.00	OPA2333SO08	SO08
IC202	20.00	51.75	180.00	STMPS2151STR	SOT23-5:1
J302	-20.00	0.00	270.00		610X1821821
J303	9.06	57.42	180.00	DM3AT-SF-PEJM5	DM3AT-SF-PEJM5
J304	20.00	0.00	270.00		610X1821821
J305	-19.77	62.50	0.00		61000618221
J306	-6.40	4.60	270.00		623X0421021
L201	-8.20	-11.10	180.00	2700Z	WE-CBF_0603(W=2.6)
L202	-1.50	-11.00	180.00	2700Z	WE-CBF_0603(W=2.6)
L301	25.92	53.27	90.00	742861210	WE-CBF_0603(W=2.6)
L302	23.91	52.65	270.00		WE-CNSW_1206
R101	-17.90	15.00	180.00	1k ±1% 75V 0.1W	R0603
R102	-14.80	8.90	90.00	4R7 ±1% 75V 0.1W	R0603
R103	-11.65	4.00	180.00	4R7 ±1% 75V 0.1W	R0603
R104	-8.00	52.25	90.00	1k ±1% 75V 0.1W	R0603
R105	-10.00	52.25	90.00	1k ±1% 75V 0.1W	R0603
R106	-12.00	52.25	90.00	1k ±1% 75V 0.1W	R0603
R107	-9.00	59.75	90.00	1k ±1% 75V 0.1W	R0603
R108	-7.00	59.75	90.00	1k ±1% 75V 0.1W	R0603
R109	-5.00	59.75	90.00	1k ±1% 75V 0.1W	R0603
R110	-4.48	33.05	0.00	10k ±1% 75V 0.1W	R0603
R111	-3.00	59.75	90.00	1k ±1% 75V 0.1W	R0603
R112	-1.00	59.75	90.00	1k ±1% 75V 0.1W	R0603
R201	19.80	26.00	180.00	8M2 ±1% 75V 0.1W	R0603
R202	19.80	23.40	180.00	8M2 ±1% 75V 0.1W	R0603
R203	19.40	28.30	0.00	390k ±1% 75V 0.1W	R0603
R204	19.50	21.20	0.00	820k ±1% 75V 0.1W	R0603
R205	22.90	30.80	90.00	470k ±1% 75V 0.1W	R0603
R206	25.20	18.60	270.00	470k ±1% 75V 0.1W	R0603
R207	19.40	30.40	0.00	470k ±1% 75V 0.1W	R0603
R208	19.50	19.00	0.00	470k ±1% 75V 0.1W	R0603
R209	-3.50	0.00	270.00	0R ±1% 75V 0.1W	R0603
R210	-5.50	0.00	90.00	0R ±1% 75V 0.1W	R0603
R301	-13.10	31.30	270.00	1k ±1% 75V 0.1W	R0603
R302	10.50	-10.00	0.00	1k ±1% 75V 0.1W	R0603
R303	-23.90	13.80	90.00	1k ±1% 75V 0.1W	R0603
R304	19.50	56.65	180.00	1k ±1% 75V 0.1W	R0603
R305	-18.80	26.70	0.00	0R ±1% 75V 0.1W	R0603
R306	-0.50	56.25	180.00	1k ±1% 75V 0.1W	R0603
R307	-0.50	52.25	180.00	1k ±1% 75V 0.1W	R0603
S101	-20.00	54.50	270.00		452403012014
S102	-18.72	39.20	180.00		428542320816
U101	-13.76	15.19	0.00	SN74AHC1G125DBVR	SOT23-5
U201	0.00	0.00	270.00	ICM20609	ICM20609
Y101	-16.90	19.50	270.00	8 MHz	830207192009
Z301	18.15	13.55	180.00	ESD8704	UDFN10
Z302	14.30	10.30	0.00	ESD8704	UDFN10
Z303	13.50	2.00	0.00	ESD8704	UDFN10
Z304	10.50	2.00	0.00	ESD8704	UDFN10
Z305	7.50	2.00	0.00	ESD8704	UDFN10
Z306	-19.35	29.65	90.00	ESD8704	UDFN10
Z307	-19.40	23.95	90.00	ESD8704	UDFN10
